"county","tract","cousub20","CountyName","MCDName","hus20","afact"
"County code","Tract","County subdivision (2020)","County name","County subdivision / MCD name","Total housing units (2020 Census)","tract-to-cousub20 allocation factor"
"09003","4305.01","70550","Hartford CT","Southington town, Hartford CT",675,1 
"09003","4305.02","70550","Hartford CT","Southington town, Hartford CT",1862,1 
"09003","4306.02","70550","Hartford CT","Southington town, Hartford CT",1425,1 
"09003","4306.03","70550","Hartford CT","Southington town, Hartford CT",1065,1 
"09003","4306.04","70550","Hartford CT","Southington town, Hartford CT",1306,1 
"09003","4601.00","27600","Hartford CT","Farmington town, Hartford CT",1458,1 
"09003","4602.02","27600","Hartford CT","Farmington town, Hartford CT",2195,1 
"09003","4602.03","27600","Hartford CT","Farmington town, Hartford CT",1578,1 
"09003","4602.04","27600","Hartford CT","Farmington town, Hartford CT",2675,1 
"09003","4603.01","27600","Hartford CT","Farmington town, Hartford CT",2067,1 
"09003","4603.02","27600","Hartford CT","Farmington town, Hartford CT",1694,1 
"09003","4621.01","02060","Hartford CT","Avon town, Hartford CT",2607,1 
"09003","4621.02","02060","Hartford CT","Avon town, Hartford CT",1483,1 
"09003","4622.01","02060","Hartford CT","Avon town, Hartford CT",2332,1 
"09003","4622.02","02060","Hartford CT","Avon town, Hartford CT",1291,1 
"09003","4641.01","12270","Hartford CT","Canton town, Hartford CT",2061,1 
"09003","4641.02","12270","Hartford CT","Canton town, Hartford CT",2322,1 
"09003","4661.01","68940","Hartford CT","Simsbury town, Hartford CT",2516,1 
"09003","4661.02","68940","Hartford CT","Simsbury town, Hartford CT",2136,1 
"09003","4662.01","68940","Hartford CT","Simsbury town, Hartford CT",1175,1 
"09003","4662.02","68940","Hartford CT","Simsbury town, Hartford CT",1341,1 
"09003","4663.00","68940","Hartford CT","Simsbury town, Hartford CT",1820,1 
"09003","4664.00","68940","Hartford CT","Simsbury town, Hartford CT",1069,1 
"09003","4681.01","32640","Hartford CT","Granby town, Hartford CT",2667,1 
"09003","4681.02","32640","Hartford CT","Granby town, Hartford CT",1781,1 
"09003","4701.00","22070","Hartford CT","East Granby town, Hartford CT",2183,1 
"09003","4711.00","05910","Hartford CT","Bloomfield town, Hartford CT",1362,1 
"09003","4712.00","05910","Hartford CT","Bloomfield town, Hartford CT",1200,1 
"09003","4713.00","05910","Hartford CT","Bloomfield town, Hartford CT",2499,1 
"09003","4714.00","05910","Hartford CT","Bloomfield town, Hartford CT",2785,1 
"09003","4715.00","05910","Hartford CT","Bloomfield town, Hartford CT",1871,1 
"09003","4731.00","87000","Hartford CT","Windsor town, Hartford CT",2289,1 
"09003","4734.00","87000","Hartford CT","Windsor town, Hartford CT",1084,1 
"09003","4735.01","87000","Hartford CT","Windsor town, Hartford CT",1849,1 
"09003","4735.02","87000","Hartford CT","Windsor town, Hartford CT",1457,1 
"09003","4736.01","87000","Hartford CT","Windsor town, Hartford CT",1364,1 
"09003","4736.02","87000","Hartford CT","Windsor town, Hartford CT",1031,1 
"09003","4737.00","87000","Hartford CT","Windsor town, Hartford CT",2242,1 
"09003","4738.00","87000","Hartford CT","Windsor town, Hartford CT",722,1 
"09003","4761.00","87070","Hartford CT","Windsor Locks town, Hartford CT",2245,1 
"09003","4762.00","87070","Hartford CT","Windsor Locks town, Hartford CT",1153,1 
"09003","4763.00","87070","Hartford CT","Windsor Locks town, Hartford CT",2417,1 
"09003","4771.01","74540","Hartford CT","Suffield town, Hartford CT",1707,1 
"09003","4771.03","74540","Hartford CT","Suffield town, Hartford CT",1672,1 
"09003","4771.04","74540","Hartford CT","Suffield town, Hartford CT",1258,1 
"09003","4772.00","74540","Hartford CT","Suffield town, Hartford CT",1242,1 
"09003","4803.00","25990","Hartford CT","Enfield town, Hartford CT",953,1 
"09003","4804.00","25990","Hartford CT","Enfield town, Hartford CT",1465,1 
"09003","4805.00","25990","Hartford CT","Enfield town, Hartford CT",1387,1 
"09003","4806.00","25990","Hartford CT","Enfield town, Hartford CT",2297,1 
"09003","4807.00","25990","Hartford CT","Enfield town, Hartford CT",861,1 
"09003","4808.00","25990","Hartford CT","Enfield town, Hartford CT",2041,1 
"09003","4809.00","25990","Hartford CT","Enfield town, Hartford CT",916,1 
"09003","4810.00","25990","Hartford CT","Enfield town, Hartford CT",1314,1 
"09003","4811.00","25990","Hartford CT","Enfield town, Hartford CT",1549,1 
"09003","4812.00","25990","Hartford CT","Enfield town, Hartford CT",1764,1 
"09003","4813.00","25990","Hartford CT","Enfield town, Hartford CT",1196,1 
"09003","4841.00","24800","Hartford CT","East Windsor town, Hartford CT",2814,1 
